component,explained_variance_ratio,cumulative_variance,eigenvalue,pca_score_std,max_abs_channel,max_abs_value,l2_norm
0,0.029815811128064723,0.029815811128064723,0.3505511271412567,0.5920735825395832,134,0.19441801367951456,1.0
1,0.029320348471562185,0.05913615959962691,0.34472586242022146,0.5871335984426556,294,0.2865015493515218,1.0
2,0.027110157418878494,0.08624631701850541,0.31874015432098723,0.564570769984585,347,0.18952744509302788,1.0
3,0.025626294584269425,0.11187261160277484,0.30129404873086935,0.5489025858300081,220,0.18453758357247246,0.9999999999999999
4,0.02371384343426949,0.13558645503704433,0.27880893493149894,0.5280236120965605,63,0.23984493604943485,1.0
5,0.022824174085317755,0.1584106291223621,0.268348894393997,0.5180240287805161,195,0.21387919621091558,1.0
6,0.022065404496940225,0.1804760336193023,0.259427871474185,0.5093406242134874,372,0.1669196080308951,1.0
7,0.021369026570415353,0.20184506018971765,0.25124040120845725,0.5012388664184545,285,0.16615131196897243,1.0
8,0.01974712974589694,0.22159218993561458,0.2321713992785856,0.4818416744933813,32,0.17985187080794604,1.0
9,0.019573410607272,0.24116560054288658,0.23012894470341358,0.47971756764101686,219,0.16748269496641896,1.0
10,0.018076124294521725,0.2592417248374083,0.21252501629330448,0.46100435604591034,346,0.19283793185646447,1.0
11,0.017810834806753405,0.2770525596441617,0.2094059487436588,0.4576089474034121,367,0.1950312617917204,1.0
12,0.01584069549630246,0.29289325514046416,0.1862425824029791,0.43155831865806865,134,0.20831986913157755,1.0
13,0.013765673040776387,0.3066589281812405,0.16184608158320427,0.4023009838208257,71,0.24645544454177246,1.0
14,0.013558482444296176,0.3202174106255367,0.15941009562873054,0.399261938617658,221,0.15171479209943492,1.0
15,0.01154903560053642,0.33176644622607315,0.13578458187078418,0.36848959533585773,195,0.18506207045229267,1.0
16,0.010884588433877417,0.34265103465995056,0.12797252865520406,0.35773248196830554,309,0.1779763113913916,1.0
17,0.010506410055727791,0.35315744471567834,0.1235262012971662,0.35146294441543363,195,0.17237671641077118,0.9999999999999999
18,0.009467991236975073,0.3626254359526534,0.11131728013802263,0.33364244355001155,195,0.29877145908754615,1.0
19,0.008967673191610747,0.37159310914426413,0.10543492952953999,0.3247074522235977,165,0.126907218981353,1.0
20,0.00888850746179411,0.3804816166060582,0.10450416042522202,0.32327103245608324,5,0.18754731230332874,1.0
21,0.008642819110087371,0.3891244357161456,0.10161554779461655,0.3187719369621745,234,0.16671595643530782,1.0
22,0.008436663775700879,0.3975610994918465,0.0991917336469832,0.3149471918385417,32,0.19951474164588254,1.0
23,0.007894210603820584,0.40545531009566704,0.09281399097859751,0.30465388718773556,61,0.1607537359670871,1.0
24,0.007540207760640425,0.41299551785630745,0.08865190076562302,0.29774469057503444,286,0.18290178034872073,1.0
25,0.007219964591382242,0.4202154824476897,0.08488673055239089,0.2913532744837286,134,0.18929746352577415,1.0
